C001|KIT|Kit America|14/07/2026 11:44|5|1600.0|A008
C002|ENTRADA|M020|14/07/2026 11:44|2|200.0|A008
C003|ENTRADA|M020|14/07/2026 22:51|40|4000.0|A006
C004|KIT|Kit Favoritos del Público|14/07/2026 22:51|1|550.0|A006
C005|ENTRADA|M020|15/07/2026 18:01|214|10700.0|A001
C006|ENTRADA|M020|15/07/2026 18:05|241|24100.0|A001
C007|ENTRADA|M020|15/07/2026 18:10|214|10700.0|A001
C008|ENTRADA|M020|15/07/2026 18:12|214|10700.0|A001
C009|ENTRADA|M020|15/07/2026 18:14|214|10700.0|A001
C010|ENTRADA|M020|15/07/2026 18:15|214|10700.0|A001
C011|ENTRADA|M020|15/07/2026 18:18|214|10700.0|A001
C012|KIT|Kit VIP Mundial|15/07/2026 18:19|2|2400.0|A001
